Device Name,Instance Name,Updated time (America/Los_Angeles),Packet Rate
csn501,network.interface.packets.in,14-Mar-2016 05:00:00 AM,539.76
csn501,network.interface.packets.in,14-Mar-2016 06:00:00 AM,543.03
csn501,network.interface.packets.in,14-Mar-2016 07:00:00 AM,554.74
csn501,network.interface.packets.in,14-Mar-2016 08:00:00 AM,566.49
csn501,network.interface.packets.in,14-Mar-2016 09:00:00 AM,587.06
csn501,network.interface.packets.in,14-Mar-2016 10:00:00 AM,560.52
csn501,network.interface.packets.in,14-Mar-2016 11:00:00 AM,576.76
csn501,network.interface.packets.in,14-Mar-2016 12:00:00 PM,569.96
csn501,network.interface.packets.in,14-Mar-2016 01:00:00 PM,573.23
csn501,network.interface.packets.in,14-Mar-2016 02:00:00 PM,607.92
csn501,network.interface.packets.in,14-Mar-2016 03:00:00 PM,674.72
csn501,network.interface.packets.out,07-Mar-2016 04:00:00 PM,767.58
csn501,network.interface.packets.out,07-Mar-2016 05:00:00 PM,772.71
csn501,network.interface.packets.out,07-Mar-2016 06:00:00 PM,777.93
csn501,network.interface.packets.out,07-Mar-2016 07:00:00 PM,779.48
csn501,network.interface.packets.out,07-Mar-2016 08:00:00 PM,761.94
csn501,network.interface.packets.out,07-Mar-2016 09:00:00 PM,765.83
csn501,network.interface.packets.out,07-Mar-2016 10:00:00 PM,759.5
csn501,network.interface.packets.out,07-Mar-2016 11:00:00 PM,766.42
csn501,network.interface.packets.out,08-Mar-2016 12:00:00 AM,755.75
csn501,network.interface.packets.out,08-Mar-2016 01:00:00 AM,756.71
csn501,network.interface.packets.out,08-Mar-2016 02:00:00 AM,755.08
csn501,network.interface.packets.out,08-Mar-2016 03:00:00 AM,784.31
csn501,network.interface.packets.out,08-Mar-2016 04:00:00 AM,804.9
csn501,network.interface.packets.out,08-Mar-2016 05:00:00 AM,744.65
csn501,network.interface.packets.out,08-Mar-2016 06:00:00 AM,763.99
csn501,network.interface.packets.out,08-Mar-2016 07:00:00 AM,760.63
csn501,network.interface.packets.out,08-Mar-2016 08:00:00 AM,760.72
csn501,network.interface.packets.out,08-Mar-2016 09:00:00 AM,776.16
csn501,network.interface.packets.out,08-Mar-2016 10:00:00 AM,765.48
csn501,network.interface.packets.out,08-Mar-2016 11:00:00 AM,762.87
csn501,network.interface.packets.out,08-Mar-2016 12:00:00 PM,800.09
csn501,network.interface.packets.out,08-Mar-2016 01:00:00 PM,774.5
csn501,network.interface.packets.out,08-Mar-2016 02:00:00 PM,750.25
csn501,network.interface.packets.out,08-Mar-2016 03:00:00 PM,761.15
csn501,network.interface.packets.out,08-Mar-2016 04:00:00 PM,750.43
csn501,network.interface.packets.out,08-Mar-2016 05:00:00 PM,760.81
csn501,network.interface.packets.out,08-Mar-2016 06:00:00 PM,772.35
csn501,network.interface.packets.out,08-Mar-2016 07:00:00 PM,749.17
csn501,network.interface.packets.out,08-Mar-2016 08:00:00 PM,740.54
csn501,network.interface.packets.out,08-Mar-2016 09:00:00 PM,750.17
csn501,network.interface.packets.out,08-Mar-2016 10:00:00 PM,709.7
csn501,network.interface.packets.out,08-Mar-2016 11:00:00 PM,779.34
csn501,network.interface.packets.out,09-Mar-2016 12:00:00 AM,709.54
csn501,network.interface.packets.out,09-Mar-2016 01:00:00 AM,787.07
csn501,network.interface.packets.out,09-Mar-2016 02:00:00 AM,767.49
csn501,network.interface.packets.out,09-Mar-2016 03:00:00 AM,760.18
csn501,network.interface.packets.out,09-Mar-2016 04:00:00 AM,781.66
csn501,network.interface.packets.out,09-Mar-2016 05:00:00 AM,754.76
csn501,network.interface.packets.out,09-Mar-2016 06:00:00 AM,746.73
csn501,network.interface.packets.out,09-Mar-2016 07:00:00 AM,766.06
csn501,network.interface.packets.out,09-Mar-2016 08:00:00 AM,765.33
csn501,network.interface.packets.out,09-Mar-2016 09:00:00 AM,840.46
csn501,network.interface.packets.out,09-Mar-2016 10:00:00 AM,833.06
csn501,network.interface.packets.out,09-Mar-2016 11:00:00 AM,805.02
csn501,network.interface.packets.out,09-Mar-2016 12:00:00 PM,789.08
csn501,network.interface.packets.out,09-Mar-2016 01:00:00 PM,844.57
csn501,network.interface.packets.out,09-Mar-2016 02:00:00 PM,834.57
csn501,network.interface.packets.out,09-Mar-2016 03:00:00 PM,861.87
csn501,network.interface.packets.out,09-Mar-2016 04:00:00 PM,800.02
csn501,network.interface.packets.out,09-Mar-2016 05:00:00 PM,874.16
csn501,network.interface.packets.out,09-Mar-2016 06:00:00 PM,793.83
csn501,network.interface.packets.out,09-Mar-2016 07:00:00 PM,765.32
csn501,network.interface.packets.out,09-Mar-2016 08:00:00 PM,754.36
csn501,network.interface.packets.out,09-Mar-2016 09:00:00 PM,761.19
csn501,network.interface.packets.out,09-Mar-2016 10:00:00 PM,757.49
csn501,network.interface.packets.out,09-Mar-2016 11:00:00 PM,749.86
csn501,network.interface.packets.out,10-Mar-2016 12:00:00 AM,800.9
csn501,network.interface.packets.out,10-Mar-2016 01:00:00 AM,764.54
csn501,network.interface.packets.out,10-Mar-2016 02:00:00 AM,744.67
csn501,network.interface.packets.out,10-Mar-2016 03:00:00 AM,760.55
csn501,network.interface.packets.out,10-Mar-2016 04:00:00 AM,818.56
csn501,network.interface.packets.out,10-Mar-2016 05:00:00 AM,761.0
csn501,network.interface.packets.out,10-Mar-2016 06:00:00 AM,774.02
csn501,network.interface.packets.out,10-Mar-2016 07:00:00 AM,778.63
csn501,network.interface.packets.out,10-Mar-2016 08:00:00 AM,771.77
csn501,network.interface.packets.out,10-Mar-2016 09:00:00 AM,813.81
csn501,network.interface.packets.out,10-Mar-2016 10:00:00 AM,804.0
csn501,network.interface.packets.out,10-Mar-2016 11:00:00 AM,783.39
csn501,network.interface.packets.out,10-Mar-2016 12:00:00 PM,774.67
csn501,network.interface.packets.out,10-Mar-2016 01:00:00 PM,781.98
csn501,network.interface.packets.out,10-Mar-2016 02:00:00 PM,760.55
csn501,network.interface.packets.out,10-Mar-2016 03:00:00 PM,782.39
csn501,network.interface.packets.out,10-Mar-2016 04:00:00 PM,762.92
csn501,network.interface.packets.out,10-Mar-2016 05:00:00 PM,794.68
csn501,network.interface.packets.out,10-Mar-2016 06:00:00 PM,783.26
csn501,network.interface.packets.out,10-Mar-2016 07:00:00 PM,781.1
csn501,network.interface.packets.out,10-Mar-2016 08:00:00 PM,767.58
csn501,network.interface.packets.out,10-Mar-2016 09:00:00 PM,759.73
csn501,network.interface.packets.out,10-Mar-2016 10:00:00 PM,765.3
csn501,network.interface.packets.out,10-Mar-2016 11:00:00 PM,766.61
csn501,network.interface.packets.out,11-Mar-2016 12:00:00 AM,757.26
csn501,network.interface.packets.out,11-Mar-2016 01:00:00 AM,763.27
csn501,network.interface.packets.out,11-Mar-2016 02:00:00 AM,756.69
