Device Name,Instance Name,Updated time (America/Los_Angeles),Utilization (%)
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:20,63.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:21,67.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:22,55.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:23,49.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:24,55.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:25,50
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:26,50.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:27,52.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:28,62.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:29,60.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:30,52.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:31,68.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:32,58.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:33,57.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:34,49
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:35,45.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:36,54.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:37,52.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:38,44.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:39,43.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:40,43.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:41,50.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:42,52.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:43,58.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:44,66.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:45,64.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:46,69.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:47,60.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:48,59.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:49,67.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:50,60.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:51,58
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:52,46.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:53,41.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:54,41.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:55,38.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:56,43.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:57,36.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:58,53.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:59,69.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:00,66.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:01,72.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:02,65.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:03,64.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:04,63.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:05,61.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:06,56
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:07,48.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:08,57
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:09,54.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:10,48.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:11,49.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:12,51.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:13,59.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:14,48.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:15,47.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:16,61.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:17,54.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:18,48.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:19,50.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:20,53.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:21,60.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:22,51.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:23,42.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:24,47.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:25,51.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:26,51.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:27,40.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:28,46.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:29,55.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:30,49.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:31,52.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:32,50
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:33,55.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:34,47.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:35,42.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:36,50.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:37,51.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:38,47.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:39,39.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:40,37.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:41,50.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:42,40.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:43,37.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:44,44.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:45,47.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:46,49.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:47,42.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:48,38.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:49,48
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:50,41.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:51,45.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:52,42.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:53,48.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:54,39.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:55,38.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:56,45.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:57,45.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:58,45.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 19:59,38.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:00,41.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:01,56.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:02,47.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:03,42.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:04,53.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:05,47.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:06,47.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:07,35.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:08,38.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:09,49.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:10,40.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:11,42.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:12,41.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:13,56.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:14,51.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:15,45.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:16,50.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:17,48.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:18,42.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:19,42.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:20,50.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:21,52
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:22,39.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:23,41.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:24,42.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:25,42.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:26,45.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:27,32.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:28,43.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:29,48.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:30,44.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:31,53.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:32,49.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:33,55.3
